latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-18.9038,15.1354,345.2,1,1,2015-05-19,1243,Aqua,MODIS,91,6.03,312.5,37.8,D,0
-18.8948,15.134,333.3,1,1,2015-05-19,1243,Aqua,MODIS,63,6.03,313.6,19.1,D,0
-18.8961,15.1244,326.5,1,1,2015-05-19,1243,Aqua,MODIS,35,6.03,310.6,11.2,D,0
-18.8831,15.1518,338.7,1,1,2015-05-19,1243,Aqua,MODIS,70,6.03,314.2,26.1,D,0
-18.8844,15.1422,339.6,1,1,2015-05-19,1243,Aqua,MODIS,64,6.03,312.8,27,D,0
-18.8746,15.1546,325.2,1,1,2015-05-19,1243,Aqua,MODIS,68,6.03,312,10.8,D,0
-18.8254,15.1764,334.5,1,1,2015-05-19,1243,Aqua,MODIS,75,6.03,310.3,20.9,D,0
-18.8267,15.1668,343.5,1,1,2015-05-19,1243,Aqua,MODIS,71,6.03,311.7,33.3,D,0
-18.8307,15.138,352.4,1,1,2015-05-19,1243,Aqua,MODIS,89,6.03,313.3,51.2,D,0
-18.8333,15.1188,354.5,1,1,2015-05-19,1243,Aqua,MODIS,97,6.03,314,57.6,D,0
-18.8347,15.1092,368.4,1,1,2015-05-19,1243,Aqua,MODIS,100,6.03,315.3,98.2,D,0
-18.815,15.1846,353.9,1,1,2015-05-19,1243,Aqua,MODIS,96,6.03,314.8,58.1,D,0
-18.8163,15.175,343.5,1,1,2015-05-19,1243,Aqua,MODIS,90,6.03,316.2,35.7,D,0
-18.8176,15.1654,377.4,1,1,2015-05-19,1243,Aqua,MODIS,100,6.03,319.1,128.8,D,0
-18.819,15.1558,364.1,1,1,2015-05-19,1243,Aqua,MODIS,100,6.03,317.5,82.7,D,0
-18.8243,15.1174,379.4,1,1,2015-05-19,1243,Aqua,MODIS,100,6.03,320.3,136.3,D,0
-18.8256,15.1078,375,1,1,2015-05-19,1243,Aqua,MODIS,100,6.03,319,120.2,D,0
-18.8059,15.1832,344,1,1,2015-05-19,1243,Aqua,MODIS,90,6.03,313.7,38.3,D,0
-18.8073,15.1736,333.6,1,1,2015-05-19,1243,Aqua,MODIS,81,6.03,314.1,21.3,D,0
-18.8112,15.1448,347.6,1,1,2015-05-19,1243,Aqua,MODIS,67,6.03,314.2,39.9,D,0
-18.8192,15.0871,349.2,1,1,2015-05-19,1243,Aqua,MODIS,94,6.03,313.1,46.6,D,0
-18.8205,15.0775,386.4,1,1,2015-05-19,1243,Aqua,MODIS,100,6.03,320.2,172.1,D,0
-18.8218,15.0679,327.9,1,1,2015-05-19,1243,Aqua,MODIS,73,6.03,312.6,12.9,D,0
-18.8101,15.0857,333.7,1,1,2015-05-19,1243,Aqua,MODIS,80,6.03,312.9,19.7,D,0
-18.813,14.9976,326.9,1,1,2015-05-19,1243,Aqua,MODIS,71,6.03,312.2,12.7,D,0
-18.8143,14.9879,323.7,1,1,2015-05-19,1243,Aqua,MODIS,64,6.03,312.1,9,D,0
-18.8608,15.0299,325,1.4,1.2,2015-05-21,1231,Aqua,MODIS,41,6.03,311.2,14.2,D,0
-18.8625,15.0165,325.4,1.4,1.2,2015-05-21,1231,Aqua,MODIS,55,6.03,311.6,15.7,D,0
-18.8063,15.2114,321.7,1.4,1.2,2015-05-21,1231,Aqua,MODIS,57,6.03,310.7,11.4,D,0
-18.8036,14.9672,325.9,1.4,1.2,2015-05-21,1231,Aqua,MODIS,35,6.03,309.9,16.7,D,0
-18.8052,14.9537,340.5,1.4,1.2,2015-05-21,1231,Aqua,MODIS,87,6.03,310.4,52.3,D,0
-18.7929,14.9658,342.3,1.4,1.2,2015-05-21,1231,Aqua,MODIS,89,6.03,311.1,56.4,D,0
-18.7945,14.9522,346.2,1.4,1.2,2015-05-21,1231,Aqua,MODIS,92,6.03,310.4,69,D,0
-18.7886,14.9587,360.3,1.4,1.2,2015-05-21,1231,Aqua,MODIS,100,6.03,313.8,127,D,0
-18.7903,14.9451,325.8,1.4,1.2,2015-05-21,1231,Aqua,MODIS,67,6.03,309.7,18.7,D,0
-18.6499,15.3928,349.1,1.3,1.1,2015-05-21,1231,Aqua,MODIS,94,6.03,313.8,72,D,0
-18.6514,15.3802,353.1,1.3,1.1,2015-05-21,1231,Aqua,MODIS,96,6.03,311.4,85.4,D,0
