-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M_RANGE     MERRA-2 Wind Speed at 2 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS2M_RANGE,2015,-18.0,15.0,3.72,3.1,2.77,2.9,3.38,3.17,3.29,3.51,3.84,4.15,4.6,3.83,3.52
WS2M_RANGE,2015,-18.0,15.625,3.45,3.05,2.96,2.87,3.32,3.1,3.47,3.51,3.78,3.84,4.56,3.38,3.44
WS2M_RANGE,2015,-18.0,16.25,2.9,2.86,3.13,2.8,3.29,3.29,3.51,3.62,3.39,3.94,4.17,3.03,3.33
WS2M_RANGE,2015,-18.0,16.875,2.86,2.6,3.21,2.7,3.24,3.26,3.56,3.74,3.29,4.02,4.05,2.94,3.29
WS2M_RANGE,2015,-18.5,15.0,4.18,3.48,3.12,3.06,3.49,3.2,3.55,3.78,4.07,4.55,4.94,4.11,3.8
WS2M_RANGE,2015,-18.5,15.625,3.86,3.19,3.16,3.07,3.57,3.38,3.73,3.78,3.81,4.25,4.97,3.78,3.72
WS2M_RANGE,2015,-18.5,16.25,3.39,3.02,3.31,3.03,3.5,3.47,3.71,3.7,3.71,4.31,4.8,3.35,3.61
WS2M_RANGE,2015,-18.5,16.875,2.98,2.67,3.36,2.81,3.31,3.52,3.71,3.83,3.63,4.29,4.3,3.12,3.47
WS2M_RANGE,2015,-19.0,15.0,4.26,3.71,3.59,3.27,3.81,3.5,3.89,4.06,4.25,4.78,4.97,4.47,4.05
WS2M_RANGE,2015,-19.0,15.625,4.3,3.41,3.36,3.24,3.7,3.42,3.85,3.84,3.85,4.72,5.19,4.08,3.92
WS2M_RANGE,2015,-19.0,16.25,3.76,3.02,3.43,3.05,3.55,3.48,3.78,3.69,3.71,4.43,5.11,3.58,3.72
WS2M_RANGE,2015,-19.0,16.875,3.31,3.05,3.43,2.89,3.28,3.48,3.84,3.77,3.88,4.31,4.6,3.31,3.6
WS2M_RANGE,2015,-19.5,15.0,4.43,3.93,3.62,3.41,4.02,3.61,4.25,4.42,4.43,4.79,5.0,4.29,4.19
WS2M_RANGE,2015,-19.5,15.625,4.42,3.59,3.51,3.28,3.95,3.43,4.21,4.14,4.03,4.76,5.16,4.16,4.06
WS2M_RANGE,2015,-19.5,16.25,3.8,3.08,3.36,3.05,3.62,3.48,4.01,3.89,3.65,4.4,4.88,3.56,3.74
WS2M_RANGE,2015,-19.5,16.875,3.63,3.18,3.44,2.85,3.22,3.49,4.02,3.88,3.88,4.27,4.65,3.44,3.67
WS2M_RANGE,2015,-20.0,15.0,5.27,4.88,3.51,3.59,4.23,3.9,4.61,4.65,5.08,5.17,5.71,4.66,4.6
WS2M_RANGE,2015,-20.0,15.625,4.5,3.65,3.31,3.09,3.83,3.41,4.58,4.29,4.29,4.82,5.23,3.83,4.07
WS2M_RANGE,2015,-20.0,16.25,3.58,3.2,3.27,2.95,3.61,3.41,4.31,4.09,3.63,4.32,4.78,3.49,3.72
WS2M_RANGE,2015,-20.0,16.875,3.74,3.2,3.27,2.83,3.12,3.51,4.13,3.96,3.85,4.23,4.69,3.65,3.69
WS2M_RANGE,2016,-18.0,15.0,3.85,2.62,2.59,3.41,3.55,3.65,3.55,3.9,3.69,4.23,4.0,3.61,3.56
WS2M_RANGE,2016,-18.0,15.625,3.47,2.58,2.59,3.33,3.61,3.6,3.55,3.98,3.65,4.21,3.91,3.15,3.47
WS2M_RANGE,2016,-18.0,16.25,3.13,2.19,2.48,3.23,3.54,3.5,3.37,3.98,3.48,3.82,3.63,3.19,3.3
WS2M_RANGE,2016,-18.0,16.875,2.85,2.17,2.38,3.14,3.46,3.41,3.28,4.03,3.48,3.64,3.34,3.06,3.19
WS2M_RANGE,2016,-18.5,15.0,4.28,2.82,2.94,3.51,3.74,3.76,3.76,4.21,4.14,4.66,4.17,4.09,3.84
WS2M_RANGE,2016,-18.5,15.625,3.69,2.87,2.89,3.49,3.79,3.81,3.85,4.32,3.93,4.55,4.37,3.68,3.77
WS2M_RANGE,2016,-18.5,16.25,3.43,2.5,2.66,3.31,3.78,3.75,3.69,4.21,3.69,4.33,3.97,3.49,3.57
WS2M_RANGE,2016,-18.5,16.875,3.03,2.36,2.47,3.18,3.64,3.58,3.51,4.16,3.76,3.84,3.7,3.29,3.38
WS2M_RANGE,2016,-19.0,15.0,4.61,3.16,3.21,3.65,4.02,4.08,4.06,4.58,4.07,4.85,4.73,4.55,4.14
WS2M_RANGE,2016,-19.0,15.625,3.7,3.07,3.11,3.64,3.84,3.95,3.88,4.44,3.94,4.97,4.32,4.04,3.91
WS2M_RANGE,2016,-19.0,16.25,3.61,2.84,2.8,3.28,3.76,3.8,3.73,4.28,3.84,4.54,3.93,3.68,3.68
WS2M_RANGE,2016,-19.0,16.875,3.18,2.56,2.57,3.14,3.65,3.58,3.61,4.2,3.81,4.15,3.65,3.58,3.48
WS2M_RANGE,2016,-19.5,15.0,5.0,2.95,3.18,3.64,4.16,4.49,4.27,4.94,4.17,4.87,5.05,4.56,4.28
WS2M_RANGE,2016,-19.5,15.625,4.02,3.22,3.22,3.63,4.05,4.25,4.07,4.61,3.93,4.95,4.46,4.24,4.06
WS2M_RANGE,2016,-19.5,16.25,3.62,3.13,3.01,3.32,3.71,3.89,3.85,4.21,3.78,4.45,3.88,3.71,3.72
WS2M_RANGE,2016,-19.5,16.875,3.27,2.73,2.76,3.08,3.5,3.54,3.64,4.0,3.76,4.25,3.62,3.43,3.47
WS2M_RANGE,2016,-20.0,15.0,5.57,3.44,3.31,3.89,4.49,4.87,4.65,5.25,4.8,5.57,5.23,5.07,4.68
WS2M_RANGE,2016,-20.0,15.625,4.14,3.18,3.07,3.53,4.08,4.35,4.29,4.65,4.01,4.74,4.51,4.21,4.07
WS2M_RANGE,2016,-20.0,16.25,3.5,2.99,2.92,3.26,3.65,3.87,3.99,4.29,3.73,4.09,3.89,3.57,3.65
WS2M_RANGE,2016,-20.0,16.875,3.37,2.98,2.87,3.06,3.36,3.49,3.8,3.89,3.87,4.3,3.58,3.34,3.5
WS2M_RANGE,2017,-18.0,15.0,3.61,2.89,3.84,3.76,3.42,3.61,3.58,3.49,3.86,4.35,4.29,3.32,3.67
WS2M_RANGE,2017,-18.0,15.625,3.43,2.95,4.03,3.87,3.45,3.58,3.61,3.47,3.82,4.2,4.06,3.33,3.65
WS2M_RANGE,2017,-18.0,16.25,2.96,2.93,3.9,3.84,3.47,3.45,3.54,3.48,3.75,3.93,3.92,2.95,3.51
WS2M_RANGE,2017,-18.0,16.875,2.87,2.88,3.64,3.73,3.38,3.38,3.44,3.52,3.83,3.68,3.48,2.84,3.39
WS2M_RANGE,2017,-18.5,15.0,3.96,3.1,4.02,4.0,3.64,3.71,3.76,3.68,4.23,4.55,4.75,3.78,3.94
WS2M_RANGE,2017,-18.5,15.625,3.73,3.07,4.04,4.04,3.64,3.66,3.88,3.74,4.19,4.5,4.4,3.45,3.87
WS2M_RANGE,2017,-18.5,16.25,3.16,2.97,3.92,4.09,3.63,3.61,3.82,3.78,4.12,4.26,4.33,3.34,3.76
WS2M_RANGE,2017,-18.5,16.875,2.92,3.0,3.66,3.89,3.51,3.45,3.63,3.75,3.98,4.02,3.91,3.0,3.56
WS2M_RANGE,2017,-19.0,15.0,3.84,3.33,4.27,4.3,3.88,3.98,4.14,4.06,4.5,4.69,4.87,4.13,4.17
WS2M_RANGE,2017,-19.0,15.625,3.83,3.1,4.09,4.12,3.72,3.77,3.99,3.95,4.43,4.47,4.52,3.63,3.97
