-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2015,-18.0,15.0,5.26,3.25,7.25,0.06,0.0,0.0,0.0,0.0,0.0,0.05,0.1,1.04,1.42
PRECTOTCORR,2015,-18.0,15.625,4.43,2.42,4.0,0.09,0.0,0.0,0.0,0.0,0.0,0.07,0.12,1.14,1.02
PRECTOTCORR,2015,-18.0,16.25,2.42,1.64,3.81,0.13,0.0,0.0,0.0,0.0,0.0,0.07,0.11,1.22,0.78
PRECTOTCORR,2015,-18.0,16.875,2.08,1.16,3.44,0.21,0.0,0.0,0.0,0.0,0.0,0.12,0.04,1.38,0.71
PRECTOTCORR,2015,-18.5,15.0,3.68,1.51,7.2,0.08,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.98,1.14
PRECTOTCORR,2015,-18.5,15.625,3.35,1.12,4.36,0.12,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.99,0.85
PRECTOTCORR,2015,-18.5,16.25,2.29,0.89,4.06,0.14,0.0,0.0,0.0,0.0,0.0,0.04,0.13,1.19,0.73
PRECTOTCORR,2015,-18.5,16.875,2.43,0.77,3.11,0.23,0.0,0.0,0.0,0.0,0.0,0.09,0.04,1.48,0.69
PRECTOTCORR,2015,-19.0,15.0,2.21,0.73,6.64,0.09,0.0,0.0,0.0,0.0,0.0,0.04,0.02,1.03,0.91
PRECTOTCORR,2015,-19.0,15.625,2.42,0.94,4.87,0.1,0.0,0.0,0.0,0.0,0.0,0.09,0.07,1.24,0.82
PRECTOTCORR,2015,-19.0,16.25,2.23,0.67,4.22,0.15,0.0,0.0,0.0,0.0,0.0,0.03,0.09,1.22,0.73
PRECTOTCORR,2015,-19.0,16.875,2.55,0.57,2.86,0.23,0.0,0.0,0.0,0.0,0.0,0.05,0.03,1.45,0.65
PRECTOTCORR,2015,-19.5,15.0,1.71,0.67,3.93,0.1,0.0,0.0,0.0,0.0,0.0,0.03,0.02,1.08,0.63
PRECTOTCORR,2015,-19.5,15.625,2.44,1.01,5.46,0.11,0.0,0.0,0.0,0.0,0.0,0.03,0.03,1.53,0.89
PRECTOTCORR,2015,-19.5,16.25,2.28,0.78,4.35,0.18,0.0,0.0,0.0,0.0,0.0,0.02,0.04,1.31,0.75
PRECTOTCORR,2015,-19.5,16.875,2.21,0.64,2.86,0.27,0.01,0.0,0.0,0.0,0.0,0.08,0.02,1.48,0.64
PRECTOTCORR,2015,-20.0,15.0,1.37,1.27,2.57,0.13,0.0,0.01,0.0,0.0,0.0,0.01,0.07,1.62,0.59
PRECTOTCORR,2015,-20.0,15.625,2.16,1.32,4.95,0.17,0.01,0.02,0.0,0.0,0.0,0.02,0.09,1.8,0.88
PRECTOTCORR,2015,-20.0,16.25,2.25,0.96,4.16,0.31,0.02,0.0,0.0,0.0,0.0,0.05,0.08,1.73,0.8
PRECTOTCORR,2015,-20.0,16.875,2.02,0.79,2.87,0.44,0.05,0.0,0.0,0.0,0.0,0.28,0.04,2.01,0.71
PRECTOTCORR,2016,-18.0,15.0,3.05,5.98,3.46,0.22,0.0,0.0,0.0,0.0,0.0,0.02,0.72,0.23,1.12
PRECTOTCORR,2016,-18.0,15.625,3.32,7.6,3.39,0.25,0.0,0.0,0.0,0.0,0.0,0.08,0.91,0.46,1.31
PRECTOTCORR,2016,-18.0,16.25,2.58,15.64,3.65,0.34,0.0,0.0,0.0,0.0,0.0,0.05,1.13,0.7,1.95
PRECTOTCORR,2016,-18.0,16.875,3.99,17.22,3.64,0.36,0.0,0.0,0.0,0.0,0.0,0.06,1.28,0.84,2.22
PRECTOTCORR,2016,-18.5,15.0,3.44,8.6,3.54,0.22,0.0,0.0,0.0,0.0,0.0,0.02,0.75,0.21,1.37
PRECTOTCORR,2016,-18.5,15.625,3.11,7.17,2.23,0.19,0.0,0.0,0.0,0.0,0.0,0.06,0.86,0.34,1.14
PRECTOTCORR,2016,-18.5,16.25,2.04,15.33,2.89,0.25,0.0,0.0,0.0,0.0,0.0,0.05,1.02,0.43,1.78
PRECTOTCORR,2016,-18.5,16.875,3.42,17.07,3.22,0.28,0.0,0.0,0.0,0.0,0.0,0.01,1.26,0.6,2.09
PRECTOTCORR,2016,-19.0,15.0,3.23,11.0,3.97,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.25,1.59
PRECTOTCORR,2016,-19.0,15.625,2.15,7.39,2.04,0.16,0.0,0.0,0.0,0.0,0.0,0.01,1.18,0.5,1.09
PRECTOTCORR,2016,-19.0,16.25,1.79,11.98,2.56,0.21,0.0,0.0,0.0,0.0,0.0,0.01,0.96,0.46,1.45
PRECTOTCORR,2016,-19.0,16.875,3.05,12.35,3.22,0.27,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.59,1.7
PRECTOTCORR,2016,-19.5,15.0,2.65,10.55,3.4,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.24,1.49
PRECTOTCORR,2016,-19.5,15.625,1.85,8.43,2.29,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.74,1.19
PRECTOTCORR,2016,-19.5,16.25,1.85,10.77,2.73,0.26,0.0,0.0,0.0,0.0,0.0,0.01,0.97,0.66,1.4
PRECTOTCORR,2016,-19.5,16.875,3.27,8.31,3.35,0.38,0.0,0.0,0.0,0.0,0.0,0.01,1.84,0.74,1.46
