-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2015,-18.0,15.0,28.07,26.38,25.5,23.83,20.96,16.42,18.67,20.9,25.18,28.68,28.97,27.94,24.28
T2M,2015,-18.0,15.625,28.52,27.2,26.34,24.77,21.31,16.72,18.81,21.11,25.36,28.7,29.12,28.09,24.66
T2M,2015,-18.0,16.25,28.93,28.14,26.99,25.23,21.54,17.18,19.08,21.53,25.82,29.08,29.72,28.3,25.11
T2M,2015,-18.0,16.875,29.25,28.47,27.22,25.32,21.53,17.6,19.23,21.76,26.31,29.41,30.4,28.5,25.4
T2M,2015,-18.5,15.0,27.81,26.76,25.94,24.04,20.95,16.15,18.19,20.79,25.1,28.67,28.64,28.0,24.24
T2M,2015,-18.5,15.625,28.8,27.68,26.78,24.88,21.43,16.71,18.66,21.22,25.5,29.1,29.33,28.46,24.86
T2M,2015,-18.5,16.25,29.35,28.19,27.26,25.06,21.39,17.01,18.8,21.4,25.82,29.26,29.8,28.51,25.14
T2M,2015,-18.5,16.875,29.63,28.38,27.48,25.22,21.61,17.46,19.07,21.73,26.29,29.62,30.5,28.72,25.46
T2M,2015,-19.0,15.0,27.26,26.33,25.69,23.49,21.11,16.04,17.88,20.68,24.85,28.32,27.97,27.46,23.91
T2M,2015,-19.0,15.625,28.31,26.78,26.04,23.9,20.84,16.33,18.03,20.77,25.12,28.71,28.76,27.86,24.28
T2M,2015,-19.0,16.25,29.2,27.53,26.92,24.41,21.14,16.83,18.48,21.2,25.66,29.16,29.66,28.36,24.87
T2M,2015,-19.0,16.875,29.58,28.12,27.39,24.69,21.7,17.36,18.95,21.7,26.23,29.59,30.44,28.66,25.35
T2M,2015,-19.5,15.0,25.86,25.67,25.55,23.17,20.67,15.44,17.26,20.32,23.9,27.29,26.44,26.46,23.16
T2M,2015,-19.5,15.625,27.23,26.27,25.59,23.28,20.85,15.92,17.63,20.63,24.72,28.26,27.95,27.2,23.78
T2M,2015,-19.5,16.25,28.57,27.17,26.35,23.85,21.21,16.45,18.14,21.06,25.39,28.89,29.2,27.87,24.5
T2M,2015,-19.5,16.875,28.58,27.3,26.21,23.39,20.89,16.39,18.1,20.98,25.36,28.6,29.4,27.59,24.38
T2M,2015,-20.0,15.0,25.82,25.47,26.19,24.05,22.38,16.33,17.64,21.01,23.94,27.17,25.99,26.68,23.55
T2M,2015,-20.0,15.625,26.34,25.89,25.32,22.78,20.3,15.07,16.99,20.34,23.96,27.5,26.86,26.51,23.14
T2M,2015,-20.0,16.25,27.74,26.6,25.61,23.0,20.56,15.56,17.42,20.68,24.66,28.14,28.26,27.05,23.76
T2M,2015,-20.0,16.875,27.45,26.3,24.99,22.12,19.82,15.07,16.91,20.05,24.14,27.19,28.01,26.33,23.18
T2M,2016,-18.0,15.0,28.32,25.3,25.42,24.95,20.66,18.2,17.54,21.22,24.73,28.46,29.43,29.79,24.5
T2M,2016,-18.0,15.625,28.22,25.64,25.69,24.81,20.61,18.21,17.63,21.32,24.7,28.8,29.26,29.49,24.53
T2M,2016,-18.0,16.25,28.21,25.09,25.11,24.53,20.67,18.35,17.85,21.52,25.16,29.42,29.24,29.19,24.53
T2M,2016,-18.0,16.875,27.54,24.7,24.52,24.25,20.51,18.24,17.93,21.54,25.7,29.87,29.29,28.76,24.4
T2M,2016,-18.5,15.0,28.17,24.86,25.25,24.83,20.31,18.04,17.24,20.94,24.56,28.23,29.22,29.73,24.28
T2M,2016,-18.5,15.625,28.42,26.02,26.34,25.35,20.72,18.42,17.69,21.42,24.92,28.95,29.68,29.87,24.81
T2M,2016,-18.5,16.25,28.4,25.64,25.73,24.82,20.54,18.33,17.75,21.44,25.13,29.42,29.62,29.58,24.7
T2M,2016,-18.5,16.875,27.5,25.23,25.15,24.66,20.65,18.37,17.94,21.59,25.76,30.02,29.44,29.21,24.62
T2M,2016,-19.0,15.0,27.55,24.74,24.84,24.45,20.33,18.02,17.08,20.7,24.16,27.87,28.6,29.2,23.96
T2M,2016,-19.0,15.625,27.63,25.54,25.63,24.91,20.2,18.05,17.21,20.9,24.48,28.51,28.95,29.26,24.27
T2M,2016,-19.0,16.25,27.9,25.57,25.53,24.58,20.3,18.36,17.61,21.39,25.03,29.29,29.52,29.53,24.55
T2M,2016,-19.0,16.875,27.08,25.74,25.33,24.63,20.79,18.56,17.94,21.71,25.72,30.06,29.23,29.12,24.65
T2M,2016,-19.5,15.0,26.59,23.21,23.52,23.58,19.35,17.55,16.63,20.38,22.98,26.76,27.93,28.19,23.06
T2M,2016,-19.5,15.625,27.03,25.08,24.97,24.34,20.03,17.92,16.96,20.74,23.92,27.98,28.51,28.59,23.83
T2M,2016,-19.5,16.25,27.56,25.46,25.15,24.44,20.35,18.23,17.32,21.2,24.64,28.94,29.07,28.98,24.27
T2M,2016,-19.5,16.875,26.36,25.23,24.48,23.64,20.05,17.88,17.01,20.9,24.72,29.1,27.92,28.03,23.77
T2M,2016,-20.0,15.0,26.95,24.4,24.11,24.68,20.53,19.27,17.81,21.53,22.8,26.49,28.32,28.59,23.79
T2M,2016,-20.0,15.625,26.63,24.43,24.26,24.1,19.63,17.95,16.7,20.55,22.87,27.08,28.06,28.05,23.35
T2M,2016,-20.0,16.25,27.04,24.95,24.5,23.94,19.78,17.88,16.75,20.69,23.72,28.13,28.28,28.38,23.67
T2M,2016,-20.0,16.875,25.82,24.9,23.76,22.73,18.82,16.92,15.88,19.72,23.4,27.82,26.74,26.92,22.78
T2M,2017,-18.0,15.0,27.13,24.55,23.23,22.11,20.31,18.78,18.24,20.57,25.34,26.8,28.03,28.08,23.59
T2M,2017,-18.0,15.625,27.38,25.27,24.1,22.94,20.76,19.06,18.37,20.61,25.54,26.83,28.11,28.17,23.92
T2M,2017,-18.0,16.25,27.45,25.21,24.17,23.43,21.26,19.41,18.64,20.84,26.06,27.27,28.41,28.06,24.17
T2M,2017,-18.0,16.875,27.35,24.97,24.13,23.49,21.35,19.5,18.66,20.88,26.34,27.74,28.39,27.76,24.2
T2M,2017,-18.5,15.0,27.02,24.44,23.51,22.11,20.21,18.53,18.1,20.57,25.32,26.54,27.87,27.99,23.51
T2M,2017,-18.5,15.625,27.69,25.31,24.45,23.14,20.87,19.18,18.52,20.86,25.8,27.0,28.55,28.54,24.15
T2M,2017,-18.5,16.25,27.81,25.39,24.53,23.42,20.97,19.29,18.56,20.85,26.06,27.3,28.77,28.55,24.28
T2M,2017,-18.5,16.875,27.63,25.11,24.38,23.28,21.12,19.5,18.7,20.93,26.45,27.8,28.77,28.28,24.32
T2M,2017,-19.0,15.0,26.29,23.8,23.31,21.71,19.42,18.31,18.09,20.61,25.27,26.09,27.35,27.18,23.11
T2M,2017,-19.0,15.625,26.93,24.6,23.66,22.14,19.7,18.53,18.1,20.61,25.55,26.55,28.04,27.75,23.5
T2M,2017,-19.0,16.25,27.46,24.96,23.84,22.61,20.35,18.91,18.4,20.82,26.08,27.12,28.62,28.31,23.95
T2M,2017,-19.0,16.875,27.39,24.69,23.79,22.69,20.94,19.48,18.73,21.03,26.56,27.75,28.69,28.2,24.16
T2M,2017,-19.5,15.0,24.97,23.44,23.49,21.61,19.51,17.84,17.85,20.24,24.74,24.79,26.25,26.47,22.59
T2M,2017,-19.5,15.625,25.93,24.07,23.53,21.79,19.62,18.41,17.92,20.43,25.34,25.86,27.33,26.88,23.08
T2M,2017,-19.5,16.25,26.57,24.37,23.37,22.08,20.31,18.81,18.18,20.68,25.99,26.66,28.08,27.6,23.55
T2M,2017,-19.5,16.875,26.01,23.75,22.56,21.58,19.96,18.62,17.93,20.3,25.91,26.62,27.56,27.19,23.16
T2M,2017,-20.0,15.0,24.91,23.98,24.19,22.64,20.79,18.94,19.19,21.41,25.25,24.49,26.18,26.62,23.21
T2M,2017,-20.0,15.625,24.92,23.72,23.59,21.76,19.69,18.02,17.84,20.23,24.98,24.77,26.51,26.39,22.69
T2M,2017,-20.0,16.25,25.5,23.87,22.84,21.55,19.73,18.24,17.84,20.25,25.56,25.68,27.14,26.87,22.91
T2M,2017,-20.0,16.875,24.75,22.76,21.38,20.37,18.44,17.43,17.0,19.29,25.02,25.03,26.21,26.26,21.99
T2M,2018,-18.0,15.0,27.88,27.26,24.36,23.22,21.5,17.93,17.95,22.01,24.18,27.17,29.9,30.13,24.44
T2M,2018,-18.0,15.625,28.21,27.71,24.94,23.75,21.95,18.1,18.0,22.16,24.36,27.17,29.93,30.45,24.71
T2M,2018,-18.0,16.25,28.27,27.82,24.95,23.73,22.19,18.2,18.12,22.5,24.93,27.44,30.05,30.69,24.89
T2M,2018,-18.0,16.875,28.07,27.45,24.42,23.25,22.09,18.05,17.93,22.82,25.35,27.58,30.04,30.65,24.79
T2M,2018,-18.5,15.0,27.7,27.37,24.66,23.8,21.44,17.95,17.8,21.7,24.13,27.15,29.66,29.66,24.4
T2M,2018,-18.5,15.625,28.43,28.13,25.38,24.21,21.99,18.28,18.08,22.07,24.54,27.42,30.21,30.43,24.91
T2M,2018,-18.5,16.25,28.69,28.35,25.53,24.01,22.06,18.23,18.02,22.36,24.9,27.48,30.17,30.69,25.02
T2M,2018,-18.5,16.875,28.49,27.9,24.96,23.42,21.98,18.18,17.97,22.76,25.4,27.6,30.19,30.81,24.95
T2M,2018,-19.0,15.0,27.21,27.43,24.27,23.19,20.83,17.91,17.54,21.32,23.87,26.8,29.04,28.89,24.0
T2M,2018,-19.0,15.625,27.07,27.71,24.95,23.51,21.22,17.9,17.59,21.58,24.18,26.99,29.57,29.79,24.32
T2M,2018,-19.0,16.25,28.1,28.18,25.29,23.67,21.43,18.11,17.87,22.04,24.7,27.35,29.98,30.36,24.74
T2M,2018,-19.0,16.875,28.32,28.04,24.96,23.26,21.76,18.28,17.92,22.64,25.29,27.56,30.12,30.68,24.88
T2M,2018,-19.5,15.0,26.22,26.41,23.8,23.08,20.11,17.62,17.2,20.28,22.8,26.08,27.97,27.43,23.23
T2M,2018,-19.5,15.625,26.58,26.82,24.47,23.15,20.75,17.74,17.29,21.0,23.75,26.62,28.99,28.86,23.82
T2M,2018,-19.5,16.25,27.72,27.72,24.88,23.38,21.21,17.93,17.53,21.51,24.4,27.05,29.64,29.74,24.37
T2M,2018,-19.5,16.875,27.49,27.45,24.23,22.56,20.81,17.62,17.0,21.59,24.36,26.57,29.19,29.51,24.01
