row,col,lat,lon,fire_count,ndvi,r_f,r_p,risk,lambda_drones,lambda_rangers,lambda_sensors,c_drones,c_rangers,c_sensors,coverage,protection,protection_uniform,in_pan
0,0,-19.4775,14.4738,0,1.0,0.677661,8.6e-05,0.00765,0.9544,0.2387,0.179,0.04,0.0,0.0,0.038177,0.993196,0.999284,False
0,1,-19.4775,14.5215,0,1.0,0.677661,0.000144,0.009879,0.9544,0.2388,0.1791,0.04,0.0,0.0,0.038176,0.979023,0.996336,False
0,2,-19.4775,14.5691,0,1.0,0.677661,0.000238,0.012688,0.9544,0.2389,0.1792,0.04,0.0,0.0,0.038175,0.950647,0.987337,False
0,3,-19.4775,14.6167,0,1.0,0.677661,0.000387,0.016187,0.9543,0.2391,0.1793,0.04,0.0,0.1,0.056101,0.96875,0.967499,False
0,4,-19.4775,14.6644,0,1.0,0.677661,0.000619,0.020488,0.9542,0.2394,0.1795,0.04,0.4,0.0,0.133944,0.998552,0.933447,False
0,5,-19.4775,14.712,0,1.0,0.677661,0.000973,0.025681,0.954,0.2399,0.1798,0.08,0.0,0.0,0.07632,0.948791,0.885227,False
0,6,-19.4775,14.7597,0,1.0,0.677661,0.001494,0.031821,0.9537,0.2406,0.1803,0.08,0.0,0.0,0.076299,0.909078,0.826339,False
0,7,-19.4775,14.8073,0,1.0,0.677661,0.002233,0.038898,0.9534,0.2416,0.1809,0.08,0.0,0.0,0.07627,0.859248,0.762186,False
0,8,-19.4775,14.8549,0,1.0,0.677661,0.003234,0.046816,0.9529,0.2429,0.1817,0.08,0.0,0.0,0.07623,0.803734,0.698201,False
0,9,-19.4775,14.9026,0,1.0,0.677661,0.004698,0.056422,0.9521,0.2448,0.183,0.08,0.0,0.0,0.076171,0.740766,0.631988,False
0,10,-19.4775,14.9502,0,1.0,0.677661,0.007683,0.072155,0.9506,0.2487,0.1855,0.08,0.0,0.1,0.094605,0.730486,0.546412,False
0,11,-19.4775,14.9979,0,1.0,0.677661,0.012164,0.090791,0.9484,0.2545,0.1893,0.04,0.4,0.0,0.139745,0.785446,0.472065,False
0,12,-19.4775,15.0455,0,1.0,0.66208,0.018493,0.110653,0.9449,0.2631,0.1949,0.04,0.4,0.0,0.143054,0.725505,0.415445,False
0,13,-19.4775,15.0931,0,1.0,0.646497,0.026813,0.13166,0.94,0.2746,0.2023,0.0,0.4,0.0,0.109838,0.565804,0.372164,False
0,14,-19.4775,15.1408,0,1.0,0.631609,0.036914,0.152694,0.9338,0.2885,0.2114,0.0,0.4,0.0,0.115415,0.530392,0.340502,False
0,15,-19.4775,15.1884,0,1.0,0.61737,0.061016,0.194086,0.9187,0.3199,0.2318,0.0,0.4,0.0,0.127979,0.482834,0.298018,False
0,16,-19.4775,15.2361,0,1.0,0.603737,0.098228,0.243524,0.8938,0.3648,0.2608,0.0,0.0,0.3,0.078226,0.274739,0.267875,False
0,17,-19.4775,15.2837,0,1.0,0.590671,0.146523,0.294189,0.8603,0.4164,0.294,0.0,0.0,0.2,0.058803,0.181174,0.248909,False
0,18,-19.4775,15.3314,0,1.0,0.578137,0.20157,0.341372,0.8219,0.4668,0.3264,0.0,0.0,0.2,0.065273,0.174039,0.236676,False
0,19,-19.4775,15.379,0,1.0,0.566101,0.2567,0.381206,0.7844,0.5096,0.3537,0.0,0.0,0.2,0.070737,0.169361,0.228504,False
0,20,-19.4775,15.4266,0,1.0,0.554535,0.283684,0.396627,0.7648,0.5298,0.3665,0.0,0.0,0.2,0.073309,0.168756,0.226821,False
0,21,-19.4775,15.4743,0,1.0,0.543409,0.311979,0.411743,0.7449,0.5491,0.3789,0.0,0.0,0.1,0.037886,0.087908,0.225134,False
