resource,risk_type,base_val,new_val,mean_P,delta_pct
Drones,fire,0.8,0.6,0.463913,2.070031
Drones,fire,0.8,1.0,0.446061,-1.857736
Drones,poach,0.3,0.1,0.461384,1.513576
Drones,poach,0.3,0.5,0.446771,-1.701641
Rangers,fire,0.2,0.0,0.45108,-0.753579
Rangers,fire,0.2,0.4,0.461024,1.434391
Rangers,poach,0.9,0.7,0.444001,-2.310934
Rangers,poach,0.9,1.0,0.458571,0.894646
Sensors,fire,0.15,0.0,0.452577,-0.424182
Sensors,fire,0.15,0.35,0.470814,3.588406
Sensors,poach,0.6,0.4,0.455958,0.319783
Sensors,poach,0.6,0.8,0.452884,-0.35662
