resource,multiplier,budget,mean_P,min_P,delta_pct
Drones,0.0,0.0,0.370583,0.0,-18.464304
Drones,0.25,5.0,0.39157,0.0,-13.846804
Drones,0.5,10.0,0.415946,0.0,-8.483548
Drones,0.75,15.0,0.438207,0.0,-3.585865
Drones,1.0,20.0,0.454505,0.0,0.0
Drones,1.5,30.0,0.477384,0.0,5.033921
Drones,2.0,40.0,0.495627,0.0,9.047676
Drones,3.0,60.0,0.521878,0.0,14.823527
Rangers,0.0,0.0,0.2633,0.0,-42.068893
Rangers,0.25,50.0,0.331127,0.0,-27.145576
Rangers,0.5,100.0,0.378631,0.0,-16.693657
Rangers,0.75,150.0,0.420884,0.0,-7.397203
Rangers,1.0,200.0,0.454505,0.0,0.0
Rangers,1.5,300.0,0.497606,0.0,9.4832
Rangers,2.0,400.0,0.521849,0.0,14.817179
Rangers,3.0,600.0,0.544554,0.0,19.812749
Sensors,0.0,0.0,0.42291,0.0,-6.951486
Sensors,0.25,12.5,0.431842,0.0,-4.986279
Sensors,0.5,25.0,0.439859,0.0,-3.222344
Sensors,0.75,37.5,0.447384,0.0,-1.566585
Sensors,1.0,50.0,0.454505,0.0,0.0
Sensors,1.5,75.0,0.467791,0.0,2.923188
Sensors,2.0,100.0,0.480068,0.0,5.624483
Sensors,3.0,150.0,0.50202,0.0,10.454295
