drones,rangers,mean_P,min_P,frac_below_30,frac_below_50,Q1_low,Q2_medlow,Q3_medhigh,Q4_high
20,50,0.331127,0.0,0.556287,0.607456,0.795649,0.495829,0.033029,0.0
20,75,0.357543,0.0,0.526316,0.589181,0.806584,0.567325,0.056264,0.0
20,100,0.378631,0.0,0.48538,0.574561,0.823449,0.599935,0.091141,0.0
20,125,0.400444,0.0,0.446637,0.555556,0.840745,0.619081,0.141948,0.0
20,150,0.420884,0.0,0.446637,0.554094,0.858654,0.620307,0.19999,0.004584
20,200,0.454505,0.0,0.446637,0.47807,0.873334,0.712642,0.227221,0.004821
20,250,0.47923,0.0,0.446637,0.446637,0.884484,0.780259,0.247357,0.004821
20,300,0.497606,0.0,0.446637,0.446637,0.892828,0.828787,0.263989,0.004821
20,400,0.521849,0.0,0.446637,0.446637,0.9038,0.889657,0.289118,0.004821
20,500,0.536006,0.0,0.446637,0.446637,0.910029,0.922819,0.306354,0.004821
20,700,0.549868,0.0,0.446637,0.446637,0.915639,0.952625,0.326386,0.004821
20,1000,0.55689,0.0,0.446637,0.446637,0.91792,0.966159,0.338661,0.004821
